"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C5,C9,C11,C13","6","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,C4","2","47uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C6,C10,C12,C14","4","22uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D2","1","SS12","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"FB1","1","600ohm@100mhz","","","","Inductor_SMD:L_0805_2012Metric","~"
"J1","1","SEN55","","","","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
"J2","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"J4","1","Display","","","","Connector_JST:JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical","~"
"PS2","1","HLK-PM01","","","","Converter_ACDC:Converter_ACDC_Hi-Link_HLK-PMxx","https://h.hlktech.com/download/ACDC%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%973W%E7%B3%BB%E5%88%97/1/%E6%B5%B7%E5%87%8C%E7%A7%913W%E7%B3%BB%E5%88%97%E7%94%B5%E6%BA%90%E6%A8%A1%E5%9D%97%E8%A7%84%E6%A0%BC%E4%B9%A6V2.8.pdf"
"R2","1","220R","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R4","1","100R","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U1","1","DC-DC 3V3","","","","Converter_DCDC:Converter_DCDC_Murata_OKI-78SR_Horizontal","https://power.murata.com/data/power/oki-78sr.pdf"
"U2","1","DPS310","","","","AirSensor_footprints:DPS310_BREAKOUT",""
"U3","1","SCD41","","","","AirSensor_footprints:SCD41_BREAKOUT_1x4_2.54",""
"U6","1","MOUDLE-SEEEDUINO-XIAO-ESP32C3","","","","xiao ESP32C3_PCB:MOUDLE14P-SMD-2.54-21X17.8MM_PINONLY",""
